month,day,hour,lamax
02,01,00,43.68794444444445
02,01,01,37.50002777777778
02,01,02,35.82988888888889
02,01,03,37.04394444444445
02,01,04,35.68633333333334
02,01,05,42.02419444444445
02,01,06,48.875
02,01,07,56.82808333333333
02,01,08,59.036722222222224
02,01,09,58.94752777777778
02,01,10,58.21477777777778
02,01,11,62.624611111111115
02,01,12,58.563361111111114
02,01,13,56.55636111111111
02,01,14,57.070055555555555
02,01,15,58.098416666666665
02,01,16,56.62161111111111
02,01,17,56.540388888888884
02,01,18,56.163583333333335
02,01,19,55.59363888888889
02,01,20,55.288333333333334
02,01,21,50.48025
02,01,22,49.42011111111111
02,01,23,47.21875
02,02,00,47.42741666666667
02,02,01,40.404583333333335
02,02,02,40.88144444444445
02,02,03,37.31963888888889
02,02,04,38.23733333333333
02,02,05,41.332722222222216
02,02,06,45.86141666666667
02,02,07,53.118027777777776
02,02,08,56.64386111111111
02,02,09,57.779694444444445
02,02,10,56.96091666666666
02,02,11,59.59836111111111
02,02,12,56.70869444444444
02,02,13,57.19083333333333
02,02,14,55.249027777777776
02,02,15,55.34133333333333
02,02,16,55.464305555555555
02,02,17,55.528111111111116
02,02,18,58.16258333333333
02,02,19,56.82122222222222
02,02,20,55.06575
02,02,21,52.08682601445247
02,02,22,48.36213888888889
02,02,23,45.949416666666664
02,03,00,43.315555555555555
02,03,01,36.967888888888886
02,03,02,34.57930555555556
02,03,03,35.333194444444445
02,03,04,35.39925
02,03,05,40.51494444444444
02,03,06,54.687999999999995
02,03,07,59.16616666666667
02,03,08,56.24661111111111
02,03,09,55.12244444444444
02,03,10,56.27241666666667
02,03,11,57.89277777777778
02,03,12,56.26661111111111
02,03,13,56.505944444444445
02,03,14,56.19386111111111
02,03,15,55.75877777777778
02,03,16,54.534305555555555
02,03,17,54.669555555555554
02,03,18,56.71966666666666
02,03,19,55.20725
02,03,20,53.934527777777774
02,03,21,53.574
02,03,22,50.88805555555555
02,03,23,48.77244444444444
02,04,00,47.446583333333336
02,04,01,38.792388888888894
02,04,02,37.912166666666664
02,04,03,36.91502777777778
02,04,04,37.66272222222222
02,04,05,40.893166666666666
02,04,06,47.79841666666666
02,04,07,54.33108333333333
02,04,08,58.17594444444444
02,04,09,58.095666666666666
02,04,10,58.58075
02,04,11,58.740027777777776
02,04,12,57.25186111111111
02,04,13,56.24627777777778
02,04,14,57.91844444444444
02,04,15,59.049777777777784
02,04,16,57.94572222222222
02,04,17,58.54983333333333
02,04,18,58.952861111111105
02,04,19,57.26869444444444
02,04,20,54.928111111111114
02,04,21,53.172999999999995
02,04,22,53.75875
02,04,23,51.830527777777775
02,05,00,51.786472222222216
02,05,01,41.619083333333336
02,05,02,37.344055555555556
02,05,03,37.679138888888886
02,05,04,36.332611111111106
02,05,05,37.94416666666667
02,05,06,42.35802777777778
02,05,07,43.94775
02,05,08,47.70580555555556
02,05,09,49.95633333333333
02,05,10,51.91438888888889
02,05,11,52.44680555555556
02,05,12,53.77491666666667
02,05,13,54.07480555555555
02,05,14,54.05877777777778
02,05,15,53.82725
02,05,16,53.71633333333333
02,05,17,54.369305555555556
02,05,18,54.697
02,05,19,53.88027777777778
02,05,20,52.78241666666667
02,05,21,50.553805555555556
02,05,22,49.393055555555556
02,05,23,49.255583333333334
02,06,00,46.83972222222222
02,06,01,40.357055555555554
02,06,02,40.53908333333334
02,06,03,39.19380555555556
02,06,04,41.18116666666667
02,06,05,43.602111111111114
02,06,06,43.25277777777778
02,06,07,44.64019444444445
02,06,08,46.74625
02,06,09,52.583333333333336
02,06,10,53.451388888888886
02,06,11,55.13002777777778
02,06,12,54.98308333333333
02,06,13,56.44247222222222
02,06,14,55.79983333333333
02,06,15,53.701499999999996
02,06,16,52.12108333333333
02,06,17,54.708777777777776
02,06,18,55.259055555555555
02,06,19,57.33502777777778
02,06,20,54.65588888888889
02,06,21,53.3545
02,06,22,47.866638888888886
02,06,23,44.797777777777775
02,07,00,48.36291666666666
02,07,01,42.975861111111115
02,07,02,37.88305555555556
02,07,03,36.51136111111111
02,07,04,37.33925
02,07,05,39.92936111111111
02,07,06,47.38622222222222
02,07,07,52.35736111111111
02,07,08,55.33186111111112
02,07,09,54.386722222222225
02,07,10,53.28747222222222
02,07,11,54.05272222222222
02,07,12,53.67255555555556
02,07,13,54.121805555555554
02,07,14,54.77836111111111
02,07,15,56.46052777777778
02,07,16,59.11986111111111
02,07,17,53.407333333333334
02,07,18,54.03877777777778
02,07,19,50.780277777777776
02,07,20,50.28486111111111
02,07,21,48.61875
02,07,22,44.98152777777778
02,07,23,43.130694444444444
