month,day,hour,439,440,441,910,442,443,444,445,324,lamax
10,16,16,0,0,0,1,0,0,0,0,0,38.36498800959233
10,16,17,0,0,0,1,0,0,0,0,0,46.099611111111116
10,16,18,0,0,0,1,0,0,0,0,0,35.957138888888885
10,16,19,0,0,0,1,0,0,0,0,0,39.05075
10,16,20,0,0,0,1,0,0,0,0,0,35.61647222222222
10,16,21,0,0,0,1,0,0,0,0,0,33.36691666666667
10,16,22,0,0,0,1,0,0,0,0,0,33.32111111111111
10,16,23,0,0,0,1,0,0,0,0,0,32.408277777777776
10,17,00,0,0,0,1,0,0,0,0,0,32.35011111111111
10,17,01,0,0,0,1,0,0,0,0,0,32.389774937482635
10,17,02,0,0,0,1,0,0,0,0,0,32.33741666666666
10,17,03,0,0,0,1,0,0,0,0,0,32.30013888888889
10,17,04,0,0,0,1,0,0,0,0,0,32.37075
10,17,05,0,0,0,1,0,0,0,0,0,32.51922222222222
10,17,06,0,0,0,1,0,0,0,0,0,32.91725
10,17,07,0,0,0,1,0,0,0,0,0,35.663444444444444
10,17,08,0,0,0,1,0,0,0,0,0,36.684
10,17,09,0,0,0,1,0,0,0,0,0,34.44288888888889
10,17,10,0,0,0,1,0,0,0,0,0,34.72277777777778
10,17,11,0,0,0,1,0,0,0,0,0,33.52586111111111
10,17,12,0,0,0,1,0,0,0,0,0,34.20511111111111
10,17,13,0,0,0,1,0,0,0,0,0,46.39380555555556
10,17,14,0,0,0,1,0,0,0,0,0,60.47375
10,17,15,0,0,0,1,0,0,0,0,0,60.62177777777777
10,17,16,0,0,0,1,0,0,0,0,0,60.71055555555556
10,17,17,0,0,0,1,0,0,0,0,0,60.30491666666667
10,17,18,0,0,0,1,0,0,0,0,0,60.25966666666666
10,17,19,0,0,0,1,0,0,0,0,0,60.10063888888889
10,17,20,0,0,0,1,0,0,0,0,0,60.01883333333333
10,17,21,0,0,0,1,0,0,0,0,0,58.010305555555554
10,17,22,0,0,0,1,0,0,0,0,0,56.77152777777778
10,17,23,0,0,0,1,0,0,0,0,0,56.93013888888889
10,18,00,0,0,0,1,0,0,0,0,0,53.82713888888889
10,18,01,0,0,0,1,0,0,0,0,0,52.062222222222225
10,18,02,0,0,0,1,0,0,0,0,0,49.09858333333333
10,18,03,0,0,0,1,0,0,0,0,0,48.47427777777778
10,18,04,0,0,0,1,0,0,0,0,0,48.80455555555555
10,18,05,0,0,0,1,0,0,0,0,0,51.483472222222225
10,18,06,0,0,0,1,0,0,0,0,0,50.73016666666667
10,18,07,0,0,0,1,0,0,0,0,0,56.375972222222224
10,18,08,0,0,0,1,0,0,0,0,0,60.70891666666667
10,18,09,0,0,0,1,0,0,0,0,0,60.26855555555555
10,18,10,0,0,0,1,0,0,0,0,0,61.83672222222223
10,18,11,0,0,0,1,0,0,0,0,0,67.39525
10,18,12,0,0,0,1,0,0,0,0,0,59.713138888888885
10,18,13,0,0,0,1,0,0,0,0,0,61.032543103448276
10,18,14,0,0,0,1,0,0,0,0,0,59.377438177271465
10,18,15,0,0,0,1,0,0,0,0,0,59.585249999999995
10,18,16,0,0,0,1,0,0,0,0,0,59.29461111111111
10,18,17,0,0,0,1,0,0,0,0,0,59.54902777777778
10,18,18,0,0,0,1,0,0,0,0,0,60.17266666666667
10,18,19,0,0,0,1,0,0,0,0,0,60.28238888888889
10,18,20,0,0,0,1,0,0,0,0,0,59.71072222222222
10,18,21,0,0,0,1,0,0,0,0,0,58.884861111111114
